FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1140281	BDCA1-	CD1c-	ANA895	557384
1140285	HLADR+	HLA-DR+	ANA812	557386
1140295	CD3+	CD3+	ANA809	557390
1140296	CD4+	CD4+	ANA41	557390
1140307	CXCR5+	CXCR5+	ANA78	557392
1140311	CD4+	CD4+	ANA41	557393
1140316	CD3+	CD3+	ANA809	557394
1140320	CD45RA-	CD45RA-	ANA816	557394
1140323	CD3+	CD3+	ANA809	557395
1140333	CD8-	CD8-	ANA810	557396
1140334	CXCR5+	CXCR5+	ANA78	557396
1140336	CXCR3+	CXCR3+	ANA76	557396
1140339	CD3+	CD3+	ANA809	557397
1140345	CCR6+	CCR6+	ANA36	557397
1140367	CXCR3-	CXCR3-	ANA76	557400
1140373	CD45RA-	CD45RA-	ANA816	557401
1140374	CXCR3-	CXCR3-	ANA76	557401
1140378	CD4+	CD4+	ANA41	557402
1140379	CD8-	CD8-	ANA810	557402
1140391	CCR6-	CCR6-	ANA36	557403
1140396	CD45RA-	CD45RA-	ANA816	557404
1140401	CD4+	CD4+	ANA41	557405
1140406	CCR6-	CCR6-	ANA36	557405
1140424	CD278+	ICOS+	ANA898	557408
1140425	CD3+	CD3+	ANA809	557409
1140436	CD45RA-	CD45RA-	ANA816	557410
1140438	CCR6-	CCR6-	ANA36	557410
1140440	CD3+	CD3+	ANA809	557411
1140454	CCR6+	CCR6+	ANA36	557412
1140469	CCR6+	CCR6+	ANA36	557414
1140481	CXCR5-	CXCR5-	ANA78	557416
1140490	CD45RA-	CD45RA-	ANA816	557417
1140494	CD3+	CD3+	ANA809	557418
1140506	CXCR3-	CXCR3-	ANA76	557419
1140513	CD45RA-	CD45RA-	ANA816	557420
1140515	CCR6-	CCR6-	ANA36	557420
1140520	CD3+	CD3+	ANA809	557422
1140533	CD4-	CD4-	ANA41	557425
