EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES789231	TRT1365
ES789236	TRT1365
ES789256	TRT1365
ES789258	TRT1365
ES789268	TRT1365
ES789269	TRT1365
ES789273	TRT1365
ES789274	TRT1365
ES789298	TRT1365
ES789301	TRT1365
ES789310	TRT1365
ES789311	TRT1365
ES789319	TRT1365
ES789336	TRT1365
ES789351	TRT1365
ES789378	TRT1365
ES789388	TRT1365
ES789389	TRT1365
ES789392	TRT1365
ES789394	TRT1365
ES789407	TRT1365
ES789408	TRT1365
ES789415	TRT1365
ES789427	TRT1365
ES789442	TRT1365
ES789517	TRT1365
ES789521	TRT1365
ES789522	TRT1365
ES789553	TRT1365
ES789557	TRT1365
ES789558	TRT1365
ES789570	TRT1365
ES789592	TRT1365
ES789594	TRT1365
ES789595	TRT1365
ES787515	TRT1365
ES787528	TRT1365
ES787530	TRT1365
ES787534	TRT1365
ES787536	TRT1365
ES787539	TRT1365
ES787550	TRT1365
ES787553	TRT1365
ES787554	TRT1365
ES787560	TRT1365
ES787565	TRT1365
ES787583	TRT1365
ES787590	TRT1365
ES787594	TRT1365
ES787602	TRT1365
ES787606	TRT1365
ES787609	TRT1365
ES787623	TRT1365
ES787628	TRT1365
ES787635	TRT1365
ES787642	TRT1365
ES787650	TRT1365
ES787652	TRT1365
ES787655	TRT1365
ES787660	TRT1365
ES787684	TRT1365
ES787724	TRT1365
ES787726	TRT1365
ES787760	TRT1365
ES787774	TRT1365
ES787785	TRT1365
ES787787	TRT1365
ES787791	TRT1365
ES787795	TRT1365
ES787799	TRT1365
ES787807	TRT1365
ES787815	TRT1365
ES787817	TRT1365
ES787830	TRT1365
ES787832	TRT1365
ES787839	TRT1365
ES787860	TRT1365
ES787881	TRT1365
ES787884	TRT1365
ES789244	TRT1365
ES789257	TRT1365
ES789259	TRT1365
ES789263	TRT1365
ES789264	TRT1365
ES789265	TRT1365
ES789276	TRT1365
ES789302	TRT1365
ES789307	TRT1365
ES789316	TRT1365
ES789317	TRT1365
ES789333	TRT1365
ES789334	TRT1365
ES789385	TRT1365
ES789411	TRT1365
ES789424	TRT1365
ES789437	TRT1365
ES789454	TRT1365
ES789481	TRT1365
ES789491	TRT1365
ES789518	TRT1365
ES789525	TRT1365
ES789533	TRT1365
ES789536	TRT1365
ES789537	TRT1365
ES789541	TRT1365
ES789546	TRT1365
ES789554	TRT1365
ES789559	TRT1365
ES789567	TRT1365
ES789606	TRT1365
ES787522	TRT1365
ES787523	TRT1365
ES787526	TRT1365
ES787527	TRT1365
ES787568	TRT1365
ES787571	TRT1365
ES787573	TRT1365
ES787584	TRT1365
ES787591	TRT1365
ES787617	TRT1365
ES787624	TRT1365
ES787627	TRT1365
ES787633	TRT1365
ES787637	TRT1365
ES787640	TRT1365
ES787653	TRT1365
ES787656	TRT1365
ES787670	TRT1365
ES787671	TRT1365
ES787676	TRT1365
ES787680	TRT1365
ES787690	TRT1365
ES787702	TRT1365
ES787727	TRT1365
ES787728	TRT1365
ES787733	TRT1365
ES787743	TRT1365
ES787746	TRT1365
ES787749	TRT1365
ES787751	TRT1365
ES787759	TRT1365
ES787761	TRT1365
ES787763	TRT1365
ES787764	TRT1365
ES787780	TRT1365
ES787792	TRT1365
ES787801	TRT1365
ES787805	TRT1365
ES787808	TRT1365
ES787816	TRT1365
ES787820	TRT1365
ES787829	TRT1365
ES787833	TRT1365
ES787838	TRT1365
ES787847	TRT1365
ES787869	TRT1365
ES787882	TRT1365
ES789230	TRT1365
ES789233	TRT1365
ES789240	TRT1365
ES789255	TRT1365
ES789261	TRT1365
ES789271	TRT1365
ES789275	TRT1365
ES789277	TRT1365
ES789282	TRT1365
ES789306	TRT1365
ES789318	TRT1365
ES789342	TRT1365
ES789345	TRT1365
ES789346	TRT1365
ES789347	TRT1365
ES789390	TRT1365
ES789410	TRT1365
ES789412	TRT1365
ES789418	TRT1365
ES789422	TRT1365
ES789434	TRT1365
ES789439	TRT1365
ES789448	TRT1365
ES789452	TRT1365
ES789469	TRT1365
ES789472	TRT1365
ES789479	TRT1365
ES789485	TRT1365
ES789486	TRT1365
ES789528	TRT1365
ES789529	TRT1365
ES789542	TRT1365
ES789544	TRT1365
ES789545	TRT1365
ES789549	TRT1365
ES789565	TRT1365
ES789566	TRT1365
ES789578	TRT1365
ES789591	TRT1365
ES789600	TRT1365
ES789603	TRT1365
ES789605	TRT1365
ES787514	TRT1365
ES787516	TRT1365
ES787519	TRT1365
ES787531	TRT1365
ES787540	TRT1365
ES787547	TRT1365
ES787557	TRT1365
ES787564	TRT1365
ES787581	TRT1365
ES787585	TRT1365
ES787593	TRT1365
ES787595	TRT1365
ES787600	TRT1365
ES787601	TRT1365
ES787605	TRT1365
ES787658	TRT1365
ES787674	TRT1365
ES787678	TRT1365
ES787681	TRT1365
ES787693	TRT1365
ES787701	TRT1365
ES787705	TRT1365
ES787707	TRT1365
ES787708	TRT1365
ES787718	TRT1365
ES787725	TRT1365
ES787734	TRT1365
ES787747	TRT1365
ES787762	TRT1365
ES787771	TRT1365
ES787772	TRT1365
ES787776	TRT1365
ES787800	TRT1365
ES787802	TRT1365
ES787809	TRT1365
ES787812	TRT1365
ES787814	TRT1365
ES787823	TRT1365
ES787825	TRT1365
ES787834	TRT1365
ES787846	TRT1365
ES787848	TRT1365
ES787850	TRT1365
ES787876	TRT1365
ES787877	TRT1365
ES787878	TRT1365
ES787879	TRT1365
ES787885	TRT1365
ES789237	TRT1365
ES789249	TRT1365
ES789250	TRT1365
ES789252	TRT1365
ES789266	TRT1365
ES789299	TRT1365
ES789314	TRT1365
ES789339	TRT1365
ES789348	TRT1365
ES789350	TRT1365
ES789391	TRT1365
ES789420	TRT1365
ES789432	TRT1365
ES789438	TRT1365
ES789488	TRT1365
ES789523	TRT1365
ES789524	TRT1365
ES789538	TRT1365
ES789543	TRT1365
ES789548	TRT1365
ES789550	TRT1365
ES789552	TRT1365
ES789556	TRT1365
ES789581	TRT1365
ES789582	TRT1365
ES789589	TRT1365
ES789604	TRT1365
ES787529	TRT1365
ES787541	TRT1365
ES787544	TRT1365
ES787548	TRT1365
ES787549	TRT1365
ES787551	TRT1365
ES787555	TRT1365
ES787556	TRT1365
ES787567	TRT1365
ES787574	TRT1365
ES787578	TRT1365
ES787582	TRT1365
ES787586	TRT1365
ES787587	TRT1365
ES787592	TRT1365
ES787599	TRT1365
ES787604	TRT1365
ES787612	TRT1365
ES787630	TRT1365
ES787646	TRT1365
ES787654	TRT1365
ES787661	TRT1365
ES787694	TRT1365
ES787699	TRT1365
ES787703	TRT1365
ES787706	TRT1365
ES787719	TRT1365
ES787723	TRT1365
ES787730	TRT1365
ES787735	TRT1365
ES787737	TRT1365
ES787742	TRT1365
ES787744	TRT1365
ES787755	TRT1365
ES787765	TRT1365
ES787767	TRT1365
ES787769	TRT1365
ES787770	TRT1365
ES787789	TRT1365
ES787798	TRT1365
ES787813	TRT1365
ES787821	TRT1365
ES787826	TRT1365
ES787831	TRT1365
ES787835	TRT1365
ES787836	TRT1365
ES787837	TRT1365
ES787841	TRT1365
ES787844	TRT1365
ES787849	TRT1365
ES787871	TRT1365
ES787873	TRT1365
ES787880	TRT1365
ES787887	TRT1365
ES789228	TRT1365
ES789243	TRT1365
ES789245	TRT1365
ES789246	TRT1365
ES789248	TRT1365
ES789303	TRT1365
ES789304	TRT1365
ES789305	TRT1365
ES789340	TRT1365
ES789343	TRT1365
ES789357	TRT1365
ES789358	TRT1365
ES789379	TRT1365
ES789404	TRT1365
ES789405	TRT1365
ES789425	TRT1365
ES789441	TRT1365
ES789444	TRT1365
ES789451	TRT1365
ES789455	TRT1365
ES789457	TRT1365
ES789471	TRT1365
ES789473	TRT1365
ES789476	TRT1365
ES789484	TRT1365
ES789490	TRT1365
ES789519	TRT1365
ES789532	TRT1365
ES789534	TRT1365
ES789551	TRT1365
ES789593	TRT1365
ES789596	TRT1365
ES789598	TRT1365
ES787513	TRT1365
ES787525	TRT1365
ES787543	TRT1365
ES787545	TRT1365
ES787559	TRT1365
ES787589	TRT1365
ES787603	TRT1365
ES787614	TRT1365
ES787625	TRT1365
ES787626	TRT1365
ES787644	TRT1365
ES787662	TRT1365
ES787664	TRT1365
ES787667	TRT1365
ES787682	TRT1365
ES787692	TRT1365
ES787697	TRT1365
ES787700	TRT1365
ES787717	TRT1365
ES787738	TRT1365
ES787741	TRT1365
ES787748	TRT1365
ES787750	TRT1365
ES787756	TRT1365
ES787768	TRT1365
ES787781	TRT1365
ES787783	TRT1365
ES787788	TRT1365
ES787794	TRT1365
ES787804	TRT1365
ES787810	TRT1365
ES787818	TRT1365
ES787827	TRT1365
