EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES833000	ESR14553
ES833000	ESR14552
ES833003	ESR14553
ES833003	ESR14552
ES833005	ESR14550
ES833006	ESR14555
ES833007	ESR14551
ES833008	ESR14555
ES833009	ESR14558
ES833010	ESR14556
ES833010	ESR14554
ES833010	ESR14553
ES833012	ESR14557
ES833012	ESR14553
ES833012	ESR14550
ES833013	ESR14558
ES833013	ESR14552
ES833013	ESR14551
ES833015	ESR14558
ES833017	ESR14558
ES833017	ESR14557
ES833018	ESR14555
ES833018	ESR14553
ES833019	ESR14555
ES833020	ESR14550
ES833021	ESR14551
ES833021	ESR14550
ES833022	ESR14558
ES833022	ESR14554
ES833024	ESR14551
ES833025	ESR14554
ES833025	ESR14550
ES833026	ESR14556
ES833026	ESR14554
ES833027	ESR14552
ES833029	ESR14557
ES833030	ESR14551
ES833030	ESR14550
ES833031	ESR14551
ES833032	ESR14556
ES833034	ESR14552
ES833034	ESR14550
ES833035	ESR14553
ES833036	ESR14550
ES833038	ESR14553
ES833043	ESR14557
ES833043	ESR14552
ES833044	ESR14557
ES833046	ESR14558
ES833046	ESR14550
ES833048	ESR14558
ES833048	ESR14550
ES833049	ESR14556
ES833049	ESR14550
ES833051	ESR14557
ES833052	ESR14554
ES833052	ESR14552
ES833053	ESR14555
ES833054	ESR14556
ES833054	ESR14550
ES833055	ESR14551
ES833056	ESR14555
ES833057	ESR14556
ES833057	ESR14552
ES833058	ESR14550
ES833059	ESR14552
ES833060	ESR14557
ES833062	ESR14556
ES833062	ESR14551
ES833065	ESR14554
ES833068	ESR14558
ES833068	ESR14551
ES833069	ESR14553
ES833069	ESR14551
ES833070	ESR14557
ES833071	ESR14553
ES833072	ESR14555
ES833072	ESR14553
ES833072	ESR14551
ES833073	ESR14554
ES833074	ESR14556
ES833075	ESR14553
ES833076	ESR14557
ES833076	ESR14552
ES833078	ESR14556
ES833079	ESR14555
ES833079	ESR14552
ES833080	ESR14558
ES833082	ESR14554
ES833083	ESR14554
ES833084	ESR14553
ES833085	ESR14556
ES833086	ESR14553
ES833087	ESR14552
ES833087	ESR14551
ES833089	ESR14557
ES833089	ESR14551
ES833091	ESR14558
ES833091	ESR14557
ES833091	ESR14555
ES833093	ESR14555
ES833095	ESR14557
ES833095	ESR14555
ES833095	ESR14553
ES833097	ESR14551
ES833098	ESR14553
ES833098	ESR14552
ES833100	ESR14550
ES833101	ESR14553
ES833101	ESR14550
ES833106	ESR14552
ES833107	ESR14557
ES833107	ESR14556
ES833107	ESR14551
ES833108	ESR14555
ES832437	ESR14553
ES832439	ESR14556
ES832440	ESR14554
ES832440	ESR14553
ES832441	ESR14552
ES832442	ESR14555
ES832444	ESR14556
ES832444	ESR14551
ES832444	ESR14550
ES832445	ESR14556
ES832445	ESR14553
ES832447	ESR14550
ES832448	ESR14558
ES832449	ESR14553
ES832450	ESR14558
ES832453	ESR14551
ES832454	ESR14556
ES832458	ESR14556
ES832458	ESR14552
ES832460	ESR14558
ES832461	ESR14551
ES832462	ESR14557
ES832462	ESR14556
ES832464	ESR14555
ES832468	ESR14555
ES832468	ESR14553
ES832469	ESR14554
ES832469	ESR14550
ES832471	ESR14555
ES832473	ESR14558
ES832474	ESR14551
ES832475	ESR14555
ES832479	ESR14557
ES832480	ESR14557
ES832480	ESR14552
ES832481	ESR14550
ES832482	ESR14558
ES832482	ESR14554
ES832485	ESR14556
ES832485	ESR14550
ES832486	ESR14557
ES832487	ESR14557
ES832488	ESR14552
ES832488	ESR14551
ES832489	ESR14554
ES832490	ESR14553
ES832490	ESR14550
ES832492	ESR14557
ES832492	ESR14550
ES832493	ESR14555
ES832494	ESR14558
ES832494	ESR14555
ES832495	ESR14554
ES832495	ESR14550
ES832497	ESR14556
ES832497	ESR14555
ES832498	ESR14553
ES805361	ESR13863
ES805367	ESR13863
ES805400	ESR13863
ES805405	ESR13863
ES805422	ESR13863
ES805423	ESR13863
ES805457	ESR13863
ES805470	ESR13863
ES805473	ESR13863
ES805476	ESR13863
ES805485	ESR13863
ES805497	ESR13863
ES805504	ESR13863
ES805513	ESR13863
ES805516	ESR13863
ES805524	ESR13863
ES805526	ESR13863
ES805532	ESR13863
ES832499	ESR14553
ES832499	ESR14551
ES832500	ESR14556
ES832501	ESR14556
ES832501	ESR14550
ES832502	ESR14555
ES832504	ESR14558
ES832504	ESR14556
ES832508	ESR14558
ES832508	ESR14550
ES832509	ESR14555
ES832511	ESR14554
ES832512	ESR14558
ES832512	ESR14551
ES832513	ESR14553
ES832514	ESR14558
ES832516	ESR14557
ES832516	ESR14553
ES832517	ESR14555
ES832517	ESR14553
ES832519	ESR14556
ES832521	ESR14557
ES832521	ESR14550
ES832523	ESR14556
ES832524	ESR14555
ES832525	ESR14558
ES832525	ESR14550
