RESULT_ID	ANALYTE_PREFERRED	ANALYTE_REPORTED	ARM_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	BIOSAMPLE_ACCESSION	COMMENTS	CONCENTRATION_UNIT_REPORTED	CONCENTRATION_UNIT_PREFERRED	CONCENTRATION_VALUE_REPORTED	CONCENTRATION_VALUE_PREFERRED	EXPERIMENT_ACCESSION	MFI	MFI_COORDINATE	REPOSITORY_ACCESSION	REPOSITORY_NAME	SOURCE_ACCESSION	SOURCE_TYPE	STUDY_ACCESSION	STUDY_TIME_COLLECTED	STUDY_TIME_COLLECTED_UNIT	SUBJECT_ACCESSION	WORKSPACE_ID
258235	ANA20	MIP1A		194				pg/ml	pg/ml	11	11	EXP13808	279				CS957	CONTROL SAMPLE	SDY202				2883
258236	ANA24	MIP1B		194				pg/ml	pg/ml	23	23	EXP13808	323				CS957	CONTROL SAMPLE	SDY202				2883
258237	ANA699	NGF		194				pg/ml	pg/ml	13	13	EXP13808	36				CS957	CONTROL SAMPLE	SDY202				2883
258238	ANA708	PAI1		194				pg/ml	pg/ml	1111	1111	EXP13808	9143				CS957	CONTROL SAMPLE	SDY202				2883
258239	ANA202	PDGFBB		194				pg/ml	pg/ml	371	371	EXP13808	704				CS957	CONTROL SAMPLE	SDY202				2883
258240	ANA27	RANTES		194				pg/ml	pg/ml	439	439	EXP13808	8014				CS957	CONTROL SAMPLE	SDY202				2883
258241	ANA208	RESISTIN		194				pg/ml	pg/ml	539	539	EXP13808	2350				CS957	CONTROL SAMPLE	SDY202				2883
258242	ANA186	SCF		194				pg/ml	pg/ml	0	0	EXP13808	41				CS957	CONTROL SAMPLE	SDY202				2883
258243	ANA212	TGFA		194				pg/ml	pg/ml	0	0	EXP13808	63				CS957	CONTROL SAMPLE	SDY202				2883
258244	ANA213	TGFB		194				pg/ml	pg/ml	6	6	EXP13808	158				CS957	CONTROL SAMPLE	SDY202				2883
258245	ANA220	TNFA		194				pg/ml	pg/ml	2	2	EXP13808	48				CS957	CONTROL SAMPLE	SDY202				2883
258246	ANA192	TNFB		194				pg/ml	pg/ml	0	0	EXP13808	20				CS957	CONTROL SAMPLE	SDY202				2883
258247	ANA237	TRAIL		194				pg/ml	pg/ml	12	12	EXP13808	173				CS957	CONTROL SAMPLE	SDY202				2883
258248	ANA702	VCAM1		194				pg/ml	pg/ml	995	995	EXP13808	3749				CS957	CONTROL SAMPLE	SDY202				2883
258249	ANA709	VEGF		194				pg/ml	pg/ml	6	6	EXP13808	59				CS957	CONTROL SAMPLE	SDY202				2883
258250	ANA43	CD40L		194				pg/ml	pg/ml	58	58	EXP13808	296				CS958	CONTROL SAMPLE	SDY202				2883
258251		CHEX1		194				N/A		0		EXP13808	919				CS958	CONTROL SAMPLE	SDY202				2883
258252		CHEX2		194				N/A		0		EXP13808	500				CS958	CONTROL SAMPLE	SDY202				2883
258253		CHEX3		194				N/A		0		EXP13808	3002				CS958	CONTROL SAMPLE	SDY202				2883
258254		CHEX4		194				N/A		0		EXP13808	131				CS958	CONTROL SAMPLE	SDY202				2883
258255	ANA70	ENA78		194				pg/ml	pg/ml	65	65	EXP13808	84				CS958	CONTROL SAMPLE	SDY202				2883
258256	ANA3	EOTAXIN		194				pg/ml	pg/ml	16	16	EXP13808	430				CS958	CONTROL SAMPLE	SDY202				2883
258257	ANA86	FASL		194				pg/ml	pg/ml	5	5	EXP13808	88				CS958	CONTROL SAMPLE	SDY202				2883
258258	ANA88	FGFB		194				pg/ml	pg/ml	1	1	EXP13808	33				CS958	CONTROL SAMPLE	SDY202				2883
258259	ANA56	GCSF		194				pg/ml	pg/ml	1	1	EXP13808	74				CS958	CONTROL SAMPLE	SDY202				2883
258260	ANA53	GMCSF		194				pg/ml	pg/ml	17	17	EXP13808	130				CS958	CONTROL SAMPLE	SDY202				2883
258261	ANA60	GROA		194				pg/ml	pg/ml	4	4	EXP13808	43				CS958	CONTROL SAMPLE	SDY202				2883
258262	ANA92	HGF		194				pg/ml	pg/ml	9	9	EXP13808	158				CS958	CONTROL SAMPLE	SDY202				2883
258263	ANA705	ICAM1		194				pg/ml	pg/ml	1004	1004	EXP13808	1176				CS958	CONTROL SAMPLE	SDY202				2883
258264	ANA717	IFNA		194				pg/ml	pg/ml	0	0	EXP13808	20				CS958	CONTROL SAMPLE	SDY202				2883
258265	ANA108	IFNB		194				pg/ml	pg/ml	6	6	EXP13808	287				CS958	CONTROL SAMPLE	SDY202				2883
258266	ANA110	IFNG		194				pg/ml	pg/ml	7	7	EXP13808	62				CS958	CONTROL SAMPLE	SDY202				2883
258267	ANA118	IL10		194				pg/ml	pg/ml	0	0	EXP13808	34				CS958	CONTROL SAMPLE	SDY202				2883
258268	ANA124	IL12P40		194				pg/ml	pg/ml	7	7	EXP13808	206				CS958	CONTROL SAMPLE	SDY202				2883
258269	ANA800	IL12P70		194				pg/ml	pg/ml	3	3	EXP13808	56				CS958	CONTROL SAMPLE	SDY202				2883
258270	ANA127	IL13		194				pg/ml	pg/ml	10	10	EXP13808	74				CS958	CONTROL SAMPLE	SDY202				2883
