FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
172590	8		PE-A		PE-A
172598	7		FITC-A		CD16/56
172603	1		FSC-A		FSC-A
172603	14		Time		Time
172609	6		SSC-W		SSC-W
172609	11		Pacific Blue-A	CD3E	CD3
172643	11		Pacific Blue-A	CD3E	CD3
172649	5		SSC-H		SSC-H
172650	3		FSC-W		FSC-W
172503	11		Pacific Blue-A	CD3E	CD3
172635	2		FSC-H		FSC-H
172519	13		APC-Cy7-A	CD8A	CD8
172532	8		PE-A	CD24	CD24
172533	13		APC-Cy7-A	CD8A	CD8
172551	5		SSC-H		SSC-H
172558	6		SSC-W		SSC-W
172576	14		Time		Time
172430	5		SSC-H		SSC-H
172433	3		FSC-W		FSC-W
172437	13		APC-Cy7-A	CD8A	CD8
172438	5		SSC-H		SSC-H
172440	7		FITC-A	KLRD1	CD94
172451	9		PerCP-Cy5-5-A	CD4	CD4
172453	7		FITC-A	LILRB1	CD85j
172499	14		Time		Time
172376	3		FSC-W		FSC-W
172382	11		Pacific Blue-A	CD3E	CD3
172389	7		FITC-A		TCRgd
172474	9		PerCP-Cy5-5-A	CD4	CD4
172406	9		PerCP-Cy5-5-A	CD19	CD19
172411	12		APC-A	CD27	CD27
172418	6		SSC-W		SSC-W
172402	9		PerCP-Cy5-5-A	CD4	CD4
172405	5		SSC-H		SSC-H
172819	4		SSC-A		SSC-A
172730	6		SSC-W		SSC-W
172811	10		PE-Cy7-A	FCG3A	CD16
172776	13		APC-Cy7-A	CD8A	CD8
172788	13		APC-Cy7-A	CD8A	CD8
172794	10		PE-Cy7-A	CD33	CD33
172736	2		FSC-H		FSC-H
172743	8		PE-A	IL2RA	CD25
172690	14		Time		Time
172685	3		FSC-W		FSC-W
172312	3		FSC-W		FSC-W
172339	3		FSC-W		FSC-W
172341	8		PE-A	CD28	CD28
172351	11		Pacific Blue-A	CD3E	CD3
172754	12		APC-A	CD27	CD27
172766	8		PE-A	CXCR3	CXCR3
172659	11		Pacific Blue-A	CD3E	CD3
172660	6		SSC-W		SSC-W
172660	11		Pacific Blue-A	CD3E	CD3
172661	12		APC-A	CD19	CD19
172666	14		Time		Time
172357	6		SSC-W		SSC-W
172358	5		SSC-H		SSC-H
172368	14		Time		Time
172278	1		FSC-A		FSC-A
181155	5		SSC-H		SSC-H
181158	4		SSC-A		SSC-A
181172	5		SSC-H		SSC-H
181173	3		FSC-W		FSC-W
181196	3		FSC-W		FSC-W
181201	1		FSC-A		FSC-A
181201	15		APC-Alexa 750-A		APC-Alexa 750-A
181219	2		FSC-H		FSC-H
181250	8		PE-A	STAT5A	pSTAT-5
181252	12		QDot 605-A	PTPRC	CD45RA
181268	13		APC-A	STAT3	pSTAT-3
181072	6		SSC-W		SSC-W
181085	4		SSC-A		SSC-A
181088	3		FSC-W		FSC-W
181093	5		SSC-H		SSC-H
181313	7		FITC-A	STAT1	pSTAT-1
181103	13		Pacific Orange-A		Pacific Orange-A
181106	16		Time		Time
181120	7		FITC-A	STAT1	pSTAT-1
181127	4		SSC-A		SSC-A
181134	12		QDot 605-A	PTPRC	CD45RA
181136	13		Pacific Orange-A		Pacific Orange-A
180739	5		SSC-H		SSC-H
180785	1		FSC-A		FSC-A
180787	4		SSC-A		SSC-A
180792	13		APC-A	STAT3	pSTAT-3
180802	5		SSC-H		SSC-H
180806	2		FSC-H		FSC-H
180812	5		SSC-H		SSC-H
180818	2		FSC-H		FSC-H
180822	2		FSC-H		FSC-H
180842	13		APC-A	STAT3	pSTAT-3
180847	3		FSC-W		FSC-W
180863	7		FITC-A	STAT1	pSTAT-1
180903	1		FSC-A		FSC-A
180905	3		FSC-W		FSC-W
180920	1		FSC-A		FSC-A
180937	5		SSC-H		SSC-H
180938	2		FSC-H		FSC-H
180949	10		PE-Cy7-A	CD33	CD33
180950	13		APC-A	STAT3	pSTAT-3
180969	13		APC-A	STAT3	pSTAT-3
180982	4		SSC-A		SSC-A
180984	16		Time		Time
181008	6		SSC-W		SSC-W
181008	11		Pacific Blue-A	CD3E	CD3
181011	7		FITC-A	STAT1	pSTAT-1
181016	11		Pacific Blue-A	CD3E	CD3
181055	5		SSC-H		SSC-H
181061	3		FSC-W		FSC-W
181332	14		Pacific Orange-A		Pacific Orange-A
181343	16		Time		Time
181348	6		SSC-W		SSC-W
181363	7		FITC-A	STAT1	pSTAT-1
181370	7		FITC-A	STAT1	pSTAT-1
181373	6		SSC-W		SSC-W
181377	14		Pacific Orange-A		Pacific Orange-A
181379	4		SSC-A		SSC-A
181381	16		Time		Time
181382	13		APC-A	STAT3	pSTAT-3
181391	4		SSC-A		SSC-A
180746	9		PerCP-Cy5-5-A		PerCP-Cy5-5-A
180755	1		FSC-A		FSC-A
180757	16		Time		Time
180763	13		APC-A	STAT3	pSTAT-3
180781	6		SSC-W		SSC-W
180782	6		SSC-W		SSC-W
172562	14		Time		Time
172577	6		SSC-W		SSC-W
172592	4		SSC-A		SSC-A
172349	8		PE-A	KLRK1	CD314
172351	10		PE-Cy7-A	PTPRC	CD45RA
172353	13		APC-Cy7-A	CD8A	CD8
172359	4		SSC-A		SSC-A
172580	11		Pacific Blue-A	CD3E	CD3
172580	6		SSC-W		SSC-W
172527	5		SSC-H		SSC-H
172537	6		SSC-W		SSC-W
172551	3		FSC-W		FSC-W
172487	1		FSC-A		FSC-A
172492	1		FSC-A		FSC-A
172416	3		FSC-W		FSC-W
172423	5		SSC-H		SSC-H
172425	2		FSC-H		FSC-H
172428	11		Pacific Blue-A	CD3E	CD3
172438	3		FSC-W		FSC-W
172280	9		PerCP-Cy5-5-A	CD19	CD19
172281	1		FSC-A		FSC-A
172400	6		SSC-W		SSC-W
172407	2		FSC-H		FSC-H
172463	14		Time		Time
172472	2		FSC-H		FSC-H
172292	5		SSC-H		SSC-H
172301	14		Time		Time
172328	14		Time		Time
172329	13		APC-Cy7-A	CD20	CD20
172348	13		APC-Cy7-A	CD8A	CD8
172624	4		SSC-A		SSC-A
172626	8		PE-A	CXCR3	CXCR3
172772	4		SSC-A		SSC-A
172782	7		FITC-A	LILRB1	CD85j
172787	3		FSC-W		FSC-W
172652	6		SSC-W		SSC-W
172795	13		APC-Cy7-A	CD8A	CD8
