FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
186149	6		532D-A	CD38	CD38
187320	3		SSC-A		SSC-A
187332	13		407B-A	CD4	CD4
187355	1		FSC-A		FSC-A
187366	11		407F-A	CD8A	CD8
187375	8		Alexa 647-A	CCL4	MIP-1b Alexa 647-A
187403	3		SSC-A		SSC-A
187417	9		APC Cy7-A	IFNG	IFN-g APC Cy7-A
187426	9		APC Cy7-A	IFNG	IFN-g
187427	4		FITC-A	IL2	IL-2 FITC-A
187428	6		PE-A	LAMP1	CD107a
187431	4		FITC-A	IL2	IL-2 FITC-A
185467	11		Alexa700-A		Alexa700-A
185473	9		V450-A		V450-A
185508	3		FITC-A	CD86	CD86
185509	10		407E-A	CD3E	CD3
185510	1		FSC-A		FSC-A
185514	9		V450-A	ITAX	CD11c
185516	5		PE-A	NCAM1	CD56
185520	10		407E-A	CD3E	CD3
185525	9		V450-A		CD11C
185560	4		PerCP Cy 5-5-A	CD20	CD20
186157	7		PE Cy7-A	CCR4	CD194
186159	9		Alexa700-A	CD4	CD4
186165	5		APC-A	CD27	CD27
186193	1		FSC-A		FSC-A
186208	9		Alexa700-A	CD4	CD4
186221	11		407E-A	HLA-DRA	HLA-DR
186238	7		407A-A	CD38	CD38
186246	6		APC Cy7-A	CD3E	CD3
186246	11		407D-A		407D-A
186257	5		APC-A	CD27	CD27
185937	1		FSC-A		FSC-A
185955	9		407F-A	CD20	CD20
185964	11		407E-A	HLA-DRA	HLA-DR
186637	5		APC-A	CD27	CD27
186653	6		532D-A	CD38	CD38
186653	11		407E-A	HLA-DRA	HLA-DR
186654	9		Alexa700-A	CD4	CD4
186674	9		407F-A	CD20	CD20
186678	6		APC Cy7-A	CD3E	CD3
186684	6		APC Cy7-A	CD3E	CD3
186686	9		407F-A	CD20	CD20
186695	3		FITC-A	IGHD	IgD
186697	7		407A-A	CD38	CD38
186699	6		APC Cy7-A	CD3E	CD3
186717	10		APC Cy7-A	CD3E	CD3
186723	9		Alexa700-A	CD4	CD4
186726	2		SSC-A		SSC-A
185979	10		APC Cy7-A	CD3E	CD3
185991	4		PE Cy7-A	CD24	CD24
185992	8		407E-A	CD19	CD19
185998	9		407F-A	CD20	CD20
186007	6		APC Cy7-A	CD3E	CD3
186017	10		APC Cy7-A	CD3E	CD3
186018	1		FSC-A		FSC-A
186047	2		SSC-A		SSC-A
186756	4		PerCP Cy 5-5-A	CD4	CD4
185595	11		Alexa700-A	HLA-DRA	HLA DR
185597	1		FSC-A		FSC-A
185621	1		FSC-A		FSC-A
185665	10		407E-A	CD3E	CD3
185667	10		407E-A	CD3E	CD3
186595	4		PerCP Cy 5-5-A	CD4	CD4
186599	12		407F-A	CD28	CD28
185686	7		APC-A		CD123 APC-A
186299	3		FITC-A	PTPRC	CD45RO
186302	11		407E-A	HLA-DRA	HLA-DR 407E-A
186313	8		Alexa 647-A	IL7R	CD127
186319	7		PE Cy7-A	CCR4	CD194
186326	4		PerCP Cy 5-5-A	CD4	CD4 PerCP Cy 5-5-A
186341	1		FSC-A		FSC-A
186355	12		407F-A		CD28 407F-A
186364	2		SSC-A		SSC-A
186370	7		PE Cy7-A	CCR4	CD194 PE Cy7-A
186371	1		FSC-A		FSC-A
