EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES840013	TRT260
ES840017	TRT260
ES840027	TRT260
ES840028	TRT260
ES840034	TRT260
ES840043	TRT260
ES840059	TRT260
ES840065	TRT260
ES840070	TRT260
ES840072	TRT260
ES840076	TRT260
ES840079	TRT260
ES840103	TRT260
ES840108	TRT260
ES840113	TRT260
ES840116	TRT260
ES840117	TRT260
ES840125	TRT260
ES840129	TRT260
ES840130	TRT260
ES840141	TRT260
ES840150	TRT260
ES840162	TRT260
ES840163	TRT260
ES840166	TRT260
ES840171	TRT260
ES840174	TRT260
ES840178	TRT260
ES840180	TRT260
ES840185	TRT260
ES840188	TRT260
ES840193	TRT260
ES840207	TRT260
ES840208	TRT260
ES1039111	TRT262
ES1039127	TRT262
ES1039128	TRT262
ES1039136	TRT262
ES1039143	TRT2363
ES1039147	TRT2363
ES1039154	TRT2363
ES1039155	TRT2363
ES1039171	TRT2363
ES1039183	TRT2363
ES1039192	TRT2363
ES1039200	TRT2363
ES1039201	TRT2363
ES1039202	TRT2363
ES1039215	TRT2363
ES1039218	TRT2363
ES1039225	TRT2363
ES1039229	TRT2363
ES1039242	TRT2363
ES1039244	TRT2363
ES1039249	TRT2363
ES1039252	TRT2363
ES1039262	TRT2363
ES1039268	TRT2363
ES1039270	TRT2363
ES1039272	TRT2363
ES1039276	TRT2363
ES1039278	TRT2363
ES1039280	TRT2363
ES1039298	TRT2363
ES1039302	TRT2363
ES1039304	TRT2363
ES1039307	TRT2363
ES1039312	TRT2363
ES1039317	TRT2363
ES1039320	TRT2363
ES1039333	TRT2363
ES1039347	TRT2363
ES1039372	TRT2363
ES1039376	TRT2363
ES846598	TRT1789
ES846599	TRT1787
ES846602	TRT1788
ES846618	TRT1787
ES846622	TRT1789
ES846633	TRT1789
ES846645	TRT1789
ES846651	TRT1788
ES846660	TRT1788
ES846663	TRT1788
ES846664	TRT1789
ES846686	TRT1787
ES846689	TRT1787
ES846693	TRT1788
ES846697	TRT1789
ES846698	TRT1787
ES846699	TRT1788
ES846700	TRT1789
ES846705	TRT1788
ES846706	TRT1789
ES846718	TRT1789
ES846722	TRT1787
ES846750	TRT1788
ES846756	TRT1788
ES846759	TRT1788
ES846766	TRT1789
ES846780	TRT1788
ES846784	TRT1789
ES846794	TRT1787
ES846795	TRT1788
ES846800	TRT1787
ES845881	TRT260
ES845901	TRT260
ES845905	TRT260
ES845920	TRT260
ES845923	TRT260
ES845928	TRT260
ES845933	TRT260
ES845938	TRT260
ES845947	TRT260
ES845948	TRT260
ES845950	TRT260
ES845956	TRT260
ES845958	TRT260
ES845966	TRT260
ES845968	TRT260
ES845970	TRT260
ES845984	TRT260
ES845985	TRT260
ES845988	TRT260
ES846012	TRT260
ES846016	TRT260
ES846029	TRT260
ES846030	TRT260
ES846043	TRT260
ES846057	TRT260
ES846062	TRT260
ES846087	TRT260
ES846091	TRT260
ES846103	TRT260
ES846121	TRT260
ES846131	TRT260
ES846137	TRT260
ES846157	TRT260
ES846159	TRT260
ES846162	TRT260
ES846165	TRT260
ES846171	TRT260
ES846173	TRT260
ES845301	TRT260
ES845304	TRT260
ES845320	TRT260
ES845322	TRT260
ES845327	TRT260
ES845340	TRT260
ES845354	TRT260
ES845358	TRT260
ES845368	TRT260
ES845376	TRT260
ES845387	TRT260
ES845390	TRT260
ES845391	TRT260
ES845415	TRT260
ES845416	TRT260
ES845419	TRT260
ES845421	TRT260
ES845442	TRT260
ES845450	TRT260
ES845456	TRT260
ES845462	TRT260
ES845468	TRT260
ES845490	TRT260
ES845495	TRT260
ES845498	TRT260
ES845507	TRT260
ES845514	TRT260
ES845522	TRT260
ES845527	TRT260
ES845534	TRT260
ES845543	TRT260
ES845559	TRT260
